brand_id,brand_name,category_id,category_name,date,gender_category,gender_id,image_link,image_link2,price,product_link,sale_price,title
1,khaadi,5,kameezshalwar_unstitched,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/f/k/fk20410_orange_1_10.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/f/k/fk20410_orange_2_10.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","PKR 7,990",https://pk.khaadi.com/fk20410-orange-fk20410-orange-pk.html,"PKR 3,990",Full Suit
1,khaadi,4,kameezshalwar_stitched,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/w/b/wbe20371_black_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/w/b/wbe20371_black_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","PKR 1,790",https://pk.khaadi.com/wbe20371-black-wbe20371-black-pk.html,"PKR 1,340",Pants
1,khaadi,4,kameezshalwar_stitched,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/e/t/etp20374_yellow_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/e/t/etp20374_yellow_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","PKR 2,490",https://pk.khaadi.com/etp20374-yellow-etp20374-yellow-pk.html,"PKR 1,865",Kurta
1,khaadi,10,accessories,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/a/w/awl20310_blue_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds",,"PKR 1,190",https://pk.khaadi.com/awl20310-blue-awl20310-blue-pk.html,PKR 890,Wallet
1,khaadi,4,kameezshalwar_stitched,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/e/t/etp20340_green_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/e/t/etp20340_green_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","PKR 2,990",https://pk.khaadi.com/etp20340-green-etp20340-green-pk.html,"PKR 2,240",Kurta
1,khaadi,10,accessories,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/a/w/awl20309_black_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds",,"PKR 1,190",https://pk.khaadi.com/awl20309-black-awl20309-black-pk.html,PKR 890,Wallet
1,khaadi,4,kameezshalwar_stitched,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/e/t/etp20313_black_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/e/t/etp20313_black_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","PKR 2,490",https://pk.khaadi.com/etp20313-black-etp20313-black-pk.html,"PKR 1,865",Kurta
1,khaadi,10,accessories,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/a/j/aje20387_default_1_3.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds",,PKR 390,https://pk.khaadi.com/aje20387-default-aje20387-default-pk.html,PKR 293,Earrings
1,khaadi,4,kameezshalwar_stitched,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/e/t/etp20306_grey_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/e/t/etp20306_grey_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","PKR 2,490",https://pk.khaadi.com/etp20306-grey-etp20306-grey-pk.html,"PKR 1,865",Kurta
1,khaadi,10,accessories,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/a/j/aje20320_default_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/a/j/aje20320_default_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds",PKR 390,https://pk.khaadi.com/aje20320-default-aje20320-default-pk.html,PKR 293,Earrings
1,khaadi,4,kameezshalwar_stitched,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/e/t/etp20305_black_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/e/t/etp20305_black_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","PKR 2,490",https://pk.khaadi.com/etp20305-black-etp20305-black-pk.html,"PKR 1,865",Kurta
1,khaadi,10,accessories,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/a/j/aje20319_default_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds",,PKR 390,https://pk.khaadi.com/aje20319-default-aje20319-default-pk.html,PKR 293,Earrings
1,khaadi,4,kameezshalwar_stitched,13/05/2021,women,2,"https://pk.khaadi.com/media/catalog/product/e/t/ete20352_red_1.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","https://pk.khaadi.com/media/catalog/product/e/t/ete20352_red_2.jpg?width=300&height=&canvas=300:&quality=80&bg-color=255,255,255&fit=bounds","PKR 3,190",https://pk.khaadi.com/ete20352-red-ete20352-red-pk.html,"PKR 2,390",Kurta
